name,link,actual_price,old_price,id,brand
"Сыр Cheese Gallery Маасдам полутвердый 45%, 180г",/products/cheese-gallery-maasdam-45-kusok-180-g-bzmzh,219,296,cheese-gallery-maasdam-45-kusok-180-g-bzmzh,CHEESE GALLERY
"Сыр Laplandia Emmental полутвердый 45%, 180г",/products/180g-syr-emmental-45-laplandia-kusok-bzmzh,299,,180g-syr-emmental-45-laplandia-kusok-bzmzh,LAPLANDIA
"Сыр Ларец с лисичками 45%, ~1кг",/products/1kg-syr-45-larets-s-lisichkami-bzmzh,1269,,1kg-syr-45-larets-s-lisichkami-bzmzh,ЛАРЕЦ
"Сыр Laplandia легкий полутвердый нарезка 17%, 120г",/products/120g-syr-lyogkiy-17-laplandia-narezka-bzmzh,179,224,120g-syr-lyogkiy-17-laplandia-narezka-bzmzh,LAPLANDIA
"METRO Chef Сыр Тильзитер 45%, ~1кг",/products/metro-chef-tilziter-45,939,,metro-chef-tilziter-45,METRO CHEF
"METRO Chef Сыр Российский нарезка 50%, 1кг",/products/50-rossijskij-metro-chef-narezka-1kg,949,1089,50-rossijskij-metro-chef-narezka-1kg,METRO CHEF
Сыр Киприно Российский полутвердый 50% ~1.5кг,/products/kiprino-rossijskij-50-15kg-bzmzh,1159,,kiprino-rossijskij-50-15kg-bzmzh,КИПРИНО
"Сыр Карлов двор со вкусом козьего молока полутвердый 45%, ~1.6кг",/products/karlov-dvor-45-16kg,1539,,karlov-dvor-45-16kg,КАРЛОВ ДВОР
"Сыр Viola Голландский полутвердый нарезка 45%, 120г",/products/120g-syr-45-viola-gollandskiy-narezka-bzmzh,197,,120g-syr-45-viola-gollandskiy-narezka-bzmzh,VIOLA
"Сыр голландский Viola кусок 45%, 180г",/products/180g-syr-gollandsky-45-viola-kusok-bzmzh,235,,180g-syr-gollandsky-45-viola-kusok-bzmzh,VIOLA
"Сыр Песто Oldenburger красный 45%, ~1кг",/products/1kg-syr-pesto-45-oldenburger-krasnyy-bzmzh,899,1379,1kg-syr-pesto-45-oldenburger-krasnyy-bzmzh,OLDENBURGER
"Сыр Радость вкуса Львиное сердце полутвердый нарезка 45%, 125г",/products/125g-syr-lvinoe-serdtse-45-radost-vkusa-nar-bzmzh,139,179,125g-syr-lvinoe-serdtse-45-radost-vkusa-nar-bzmzh,РАДОСТЬ ВКУСА
"Сыр Киприно Три сыра полутвердый тертый 45%, 200г",/products/tertyj-kiprino-tri-200g-bzmzh,229,,tertyj-kiprino-tri-200g-bzmzh,КИПРИНО
"Сыр Cheese Gallery Чеддер белый полутвердый нарезка 50%, 150г",/products/syr-cheese-gallery-chedder-beliy-50-150g,159.01,263,syr-cheese-gallery-chedder-beliy-50-150g,CHEESE GALLERY
"METRO Chef Сыр Маасдам 45%, ~2.5кг",/products/maasdam-45-metro-chef-vesovoj,949,,maasdam-45-metro-chef-vesovoj,METRO CHEF
"Сыр Viola Тильзитер полутвердый нарезка 45%, 120г",/products/120g-syr-45-viola-tilzit-narezka-bzmzh,206,,120g-syr-45-viola-tilzit-narezka-bzmzh,VIOLA
"Сыр российский Viola кусок 50%, 180г",/products/180g-syr-rossiyskiy-50-viola-kusok-bzmzh,239,,180g-syr-rossiyskiy-50-viola-kusok-bzmzh,VIOLA
"METRO Chef Сыр Маасдам полутвердый нарезка 45%, 1кг",/products/maasdam-narezka-45-metro-chef-1-kg,1319,,maasdam-narezka-45-metro-chef-1-kg,METRO CHEF
"Сыр Ларец Чили-паприка нарезка 45%, 125г",/products/125g-syr-45-larets-chilipaprika-narezka-bzmzh,237,,125g-syr-45-larets-chilipaprika-narezka-bzmzh,ЛАРЕЦ
